Date,Station,Category,Value
2004-12-05,Changi,Max humidity,100.00
2004-12-06,Changi,Max humidity,100.00
2004-12-07,Changi,Max humidity,100.00
2004-12-08,Changi,Max humidity,100.00
2004-12-11,Changi,Max humidity,100.00
2004-12-12,Changi,Max humidity,100.00
2004-12-13,Changi,Min humidity,94.31
2004-12-17,Changi,Max humidity,100.00
2004-12-28,Changi,Max humidity,100.00
2004-12-29,Changi,Max humidity,100.00
2004-12-29,Changi,Min Temperature,23.00
2004-12-30,Changi,Max humidity,100.00
2004-12-31,Changi,Max humidity,100.00
